,comments,TextBlob_polarity,TextBlob_subjectivity,TextBlob_label,BERT_label,BERT_score
24,why airbnb fails to disrupt the hotel industry,-0.5,0.3,negative,negative,0.917366445
25,election subversion last week tonight with john oliver hbo,0,0.066666667,neutral,neutral,0.575537741
26,the world leader in counterfeiting limas fake dollars,-0.5,1,negative,neutral,0.644474626
27,how this man just caused a 45 billion crash [terra luna],0,0,neutral,negative,0.824263453
28,012 a companys arrogance ,0,0,neutral,neutral,0.668446541
29,315 digital stickiness,0,0,neutral,negative,0.789357662
30,339 deepening its moat,0,0,neutral,neutral,0.571956575
31,didnt do a good enough job protecting peoples data,0.35,0.55,positive,negative,0.910481036
32,is a funny way of saying that they did everything they could to sell it,0.25,1,positive,positive,0.882071733
33,i think facebook has also underestimated the negative reaction to overpersonalized content  its not just stories in the media that form bad press targeted ads too often is unnerving  the ads start becoming less about their content and more about how creepy they are,-0.119444444,0.580555556,negative,negative,0.929728568
34,if you have a bad product but a near monopoly your business appears successful,0.05,0.672222222,neutral,negative,0.854155719
35,its only when actual competition gains a foothold in the market that you realize just how fragile their spot at the top really was,0.14,0.46,neutral,negative,0.864290476
36,when i was young i was taught that all ads were viruses and even to this day seeing an ad makes me more reluctant to buy whatever is being advertised out of sheer bloodyminded stubbornness and the pettiest spite imaginable,0.2,0.55,positive,negative,0.966271996
37,the issue that fb has is that they are so untrusted that people will not purchase their new devices they made short term optimization decisions at the expense of long term trust and growth,0.028787879,0.384848485,neutral,negative,0.924664497
38,no one is going to mourn fbs demise or look back with fond memories and nostalgia even as much as people who remember blockbuster and their awful late fees look back with nostalgia just to name one example,-0.22,0.36,negative,negative,0.772331357
39,no one no one will do that for facebook,0,0,neutral,negative,0.800784409
40,cant wait to see facebook fail miserably and go bankrupt,-0.75,0.65,negative,negative,0.926662028
41,major problem with metaverse at the moment is that the ones youd expect to be the first to adapt to it  the gamers are extremely hostile against anything facebookmeta does,0.0625,0.611111111,neutral,negative,0.947622061
42,i actual want to thank him he taught the current generation not to trust them and be cautious about what websites do with your data that knowledge will be passed down to future generations who because of his actions with facebook will be relegated to a museum exhibit,-0.038888889,0.228472222,negative,neutral,0.612325251
43,when going through my phone apps i noticed facebook installer and facebook manager later called meta manager continously reinstalled themselves on my device despite me not using a single facebook app,-0.035714286,0.107142857,negative,neutral,0.645204663
44,its these levels of creepy that make me adamant that i will never use anything they make,-0.2,0.85,negative,negative,0.837377369
45,facebook died in my eyes the day i discovered i couldnt physically uninstall it from my phone its viewed by my kids and myself as forced spyware and is just one of those things that is just there its avoided like the plague because we know what they are my generation also has a fixed policy of never buying something from an ad youre forced to watch whether you might want it or not because we know its just a organised phishing scam  in some ways theyre helping to revive the high street were aware awake and like going out shopping in the real world again,0.015714286,0.261836735,neutral,negative,0.963380396
46,from a totally unbiased perspective like my mom shes just frustrated that their is soooo much freakin ads and 90 of which are pyramid schemes fake products and scams made by fake accounts she often complains why there is ads on the videos she likes watching on dodo and cooking channels from my informed perspective not only is she right but the amount of ad tracking and fake accounts got me to finally deactivate my account when elon musk questioned twitter about the amount of bots on their platform all of the social media platforms were shook,-0.168095238,0.675238095,negative,negative,0.972850204
47,i think that the constant lies and shady businesses have caught up to them it could have been something great but they have abused the trust of people and their privacy too much,0.1875,0.477083333,neutral,negative,0.959671199
48,problem with facebook is that they forgot the reason facebook was created interaction with friends and meeting new people ,0.136363636,0.454545455,neutral,negative,0.955977738
49,i created my fb profile back in 2010 at the age of 14 fb was a pretty good alternative to sms texting since it was technically free back then i had like 500 friends and every time id log in id only see friend related updates new profile pics posts youtube songs etc,0.185795455,0.531818182,neutral,positive,0.921107173
50,the metaverse seems scary especially with all that personal data being provided for them,-0.166666667,0.766666667,negative,negative,0.909216225
51,if you watch social network you definitely realize the type of person that mark is its a great movie and it explains how intellect most often is followed by greed and many other mistakes like mark likes to call it,0.284722222,0.448611111,positive,positive,0.983556271
52,look im just going to come out and say it  google microsoft apple nintendo sony theyve all recognized the times when they needed to actually deliver a good product and just buckled down and produced it  they all made amazing things at some point and time be it a nice search engine streaming platform game hardware or software or something  but facebook  the more you use them the more you realize they are just in a speedy business model all the time  they always made their stuff addictive and always sold out their morals and cheapened the experience  everyone may not know the exact one and outs of it but you can tell theres something shady about it  you know theres bots fake accounts multiple accounts lame adds and content ridiculously algorithms horrible privacy and personal control etc  facebook is like the horrible landlord that you just cant wait to get away from first chance you get,-0.038888889,0.60248538,negative,negative,0.883453667
53,any time zuck has to speak in public its solid gold hes literally richard from silicon valley sweating stammering and looking like hes cooking under the lights,0,0.083333333,neutral,negative,0.823082387
54,the most disgusting thing is that they always say sorry but never really carefb is so untrustble,-0.275,0.675,negative,negative,0.971911371
55,every time theres a break in major technological advancement the public narrative for the future seems to fall back to virtual reality theres a scene in the original jurassic park from the early 90s where one of the scientists has vr glasses and gloves on and is moving a virtual dna molecule around with his hands thats basically the metaverse its an idea thats been around since the 80s that never actually goes anywhere if you could go back to the 90s and explain netflix or iphones people would be completely blown away nobody ever imagined the tech we have now vr is something everyone has always imagined would be great but in actuality it really isnt,0.148863636,0.290151515,neutral,positive,0.756039381
56,i never really got into facebook its weird at some point i felt like an outcast for not using it i tried it for like 6 months around when it became a thing and hated the experience we had a similar social media service in finland for years before facebook but suddenly everybody went there for reasons i never understood  but nowadays its no biggie at all we have so many ways to communicate that fb is kinda irrelevant,-0.183333333,0.545833333,negative,negative,0.962439895
57,even with personal data these companies have a long way to go in terms of giving accurate tailored advertising depending on where you are i knew that fb was after more control more tracking and more data when they started to force users to download the actual app in order to use messenger whereas before you could choose to browse fb and use messenger from your browser even on your mobile devices instead of installing any app im against the you can only use my services via my app stance from any company because i like many people dont like being told what to do there are already enough apps we have to install whether we want it or not depending on where we live thanks to our banks governments and other unavoidable entities as it is when you take into account that not everyone has a high capacity storage phone or tablet when storage becomes an issue folks are going to prioritize installing apps they choose to install on that leftover space they have after installing the bank government and workrelated apps they are using in spite of themselves if a company doesnt give me a choice and wants to force me to install their damn app i might as well move on from using them im not using fb messenger much since they disabled the ability to use it via the web browser for android devices,0.17184492,0.420490196,neutral,negative,0.941537321
58,i suspect meta would be having an easier go at it if they werent descendent from a company that willfully ignored atrocious customer satisfaction relative to competition  facebook was never truly liked by their consumers but it was a free product many people found essential with no reasonable competition  that same company now asking people to invest hundreds of dollars in a cuttingedge vr system is a nearimpossible sell,0.0875,0.515625,neutral,neutral,0.553027868
59,and isnt it great to know that no matter how much bad publicity whistleblowers leaks etc the company experiences the average fool is still going to avidly use their products and only aid them in harvesting more and more of your data,0.171428571,0.688095238,neutral,positive,0.852848828
60,i really hope facebook fails in this endeavor and people turn to more privacy focused devices and that actually privacy focused devices are made like linux phones,0.05,0.275,neutral,negative,0.942438662
61,i dont think theres really any saving facebook because younger users arent going to want to use the same social media platform as their parents and grandparents none of my nieces and nephews use facebook and i completely understand the minute they subscribed all of my aunts and uncles would try to friend them,0.066666667,0.158333333,neutral,neutral,0.60475719
62,to be honest i stopped using my oculus the moment zuck bought the company i think it makes sense to set yourself up as a market leader in future tech but i dont think that market share alone is going to pull back consumers who are avoiding facebookmeta,0.2,0.341666667,positive,negative,0.866826892
63,i quit personal social media 2 years ago and couldnt be happier im weaning myself from yt due to getting constantly blasted by ads especially for tiktok which i havent ever used and dont plan to linkedin is the only social media site i use,-0.094047619,0.529761905,negative,negative,0.945956826
64,manuel r avila,0,0,neutral,neutral,0.562161505
65,i think facebook needs first to get a new ceo give up control of the news wall give users control in what their information is used for and regain users trust before even trying to create platforms nobody will trust in,0.193181818,0.393939394,neutral,neutral,0.650216162
66,after just watching a few minutes of these old interviews im wondering why anyone trusted this guy to protect their data and personal information he always intended to sell you off to the highest bidder,-0.033333333,0.2,negative,negative,0.803925037
67,the pivot to vr is a mistake even for the minority that want vr entertainment they want it on a game system where they can be relatively anonymous,-0.2,0.2,negative,negative,0.95236814
68,the silence was deafeningboth when he joked about privacy and when the host asked girls to cheer for mark to take his sweatshirt off  tugs at collar like rodney dangerfield,0,0,neutral,negative,0.862795353
69,i seriously doubt facebooks ability to pull off turning oculus into the next iphone and horizon into the next windows for a whole host of reasons they at best in my vision could compete with other vr platforms as a games store but the biggest issue is that vr does not provide any added convenience that the iphone doesnt already to do vr you need dedicated space the equipment supplementary technology privacy people dont want to use vr where people can see them and security people dont want to get messed with while in vr all an iphone needs is the phone occasional charging and either internet or cellular connection many steps in phone technology have been to improve ease of use like waterproofing being able to unlock your phone hands free etc all of this on top of the fact that facebook despite the rebrand just isnt hip theyre corporate and cold and their name taints anything they touch their data selling practice is relatively well known and their aesthetic makes them look like theyve never left their polished offices in san francisco for a day of their lives,0.136111111,0.352777778,neutral,neutral,0.660859704
70,its really amazing that facebook is planning to get dominance on the nextlevel item metaverse i didnt even think about it before this analysis is quite persuasive and   i can understand well about this situation well now this is time for apple and google but someday facebook or other companies could take away that kind of status maybe its fun to imagine it,0.34375,0.59375,positive,positive,0.96861434
71,fun fact i use social media less the more i feel like i get personalized content,0.166666667,0.208333333,neutral,neutral,0.588932455
72,this does help explain why i thought it was rather odd facebook didnt bother trying to make horizon worlds work on non oculus headsets since that wouldve given them a wider potential userbase right now anyone currently more into the steamvr camp,0.154761905,0.571428571,neutral,neutral,0.614197254
73,i actually was interested in getting into vr stuff but avoided oculus stuff very specifically when they added the requirement to login with a facebook around and i ended up pickin up a used dell windows mixed reality headset instead at a very good price very happy with it,0.393333333,0.488333333,positive,neutral,0.504312217
74,great video again,0.8,0.75,positive,positive,0.928080618
75,it is definitely an interesting play theyre going for seeing the popularity of mmos and vr chat it may work but im not sure how people would like the ad filled dystopia versions of those ,0.216666667,0.762962963,positive,positive,0.973644555
76,maybe i just dont see what zuck sees i just dont see a lot of people wanting to engage in a vr world just to shop or watch videos,0,0,neutral,negative,0.943061531
77,facebook expectations anticipate what the user wants to buy before he even knows it exists,0.2,0.1,positive,negative,0.852626204
78,facebook reality recommends something you already bought and only need one of on repeat,0,1,neutral,negative,0.724410594
79,the problem is that publicly traded companies must continue increasing their revenue and profit to be considered healthy as much as they might like to do what they do best and stay relevant within the social space they cant they are beholden,0.355555556,0.338888889,positive,negative,0.750327349
80,i do agree that its a company strategy bold one at that theyre bankrolling the vr sector to eventually reap rewards fb just doesnt seem to have a killer app or even a good use case for their rather expensive technology theyre selling oculus for loss probably and the device itself is fairly affordable but youd need pretty beefy machine to properly use it and the users seem to be going more casual and mobile than ever before,0.187037037,0.692592593,neutral,negative,0.837583005
81,i purposefully remove any ad  categories that facebook thinks im interested in and select hide all ads as often as possible honestly i dont care what it is i probably dont want to buy it and i certainly dont want it encroaching on my time and space i want to see posts from my friends not dumb ads i dont give a crap about targeted ads i dont want them to begin with im actually way less likely to buy nearly any product ive seen on an ad just because of how much it annoys me ,0.053192641,0.548917749,neutral,negative,0.963787496
82,i think one thing that is missed is that even tho video photo and digital content is virtual the experience captured is real life not sure how comfortable or inclined people will be to share virtual spaces with their friends if facebook can find a way for people to easily capture real life spaces into vrar perhaps it would be more palatable as a social media product,0.189583333,0.461111111,neutral,neutral,0.558877051
83,im so sick of facebooks community standards they keep banning you for little things thats not that serious,-0.411706349,0.674603175,negative,negative,0.94229269
84,i stopped using facebook in 2014 because there was no point to it for the older generation it made sense as a way to connect to people you couldnt otherwise but for me being in high school i already knew those people and had their phone numbers or snapchat discord or whatever app other than that i didnt use facebook for anything like i dont care about what people post which goes for instagram theres no reason to care about posts on instagram from my perspective if someone has something to say or show they will text it to me the only social media ive used since 2014 is snapchat specifically to message people ,0.047,0.463,neutral,negative,0.913289487
85,0042 the question is do you feel like youre violating peoples privacy,0,0,neutral,negative,0.901223481
86,his answer was i started this company with my friends and other companies wanted to buy our company but we wanted to help connect people,-0.125,0.375,negative,positive,0.829762876
87,the guy identifies this and goes back to the original question about privacy but the woman interrupts and says thats okay do you want to take off the hoodie,0.291666667,0.416666667,positive,negative,0.85816437
88,i remember when several years ago before ios had perphoto privacy settings fb had collected a bunch of photos from my camera reel and decided to create an album out of them this was done without any voluntary action on my part while the app was in the background it was super creepy,-0.016666667,0.441666667,negative,negative,0.901061833
89,facebook honestly from the ceo perspective shouldve never made their ad system so good they shouldve left a little bit of wiggle room so that if something happened they could sort of move to match it for advertisers,0.278125,0.5,positive,negative,0.841643214
90,beware the lily of the valley,0,0,neutral,neutral,0.67075187
91,still watching the video but the seconhand embarrassment i felt at that woman for the implication that women want to see mark zuckerberg shirtless is viceral  i absolutely love silence in the crowd when she said that,0.5,0.6,positive,positive,0.825227559
92,edit great video ive seen your newer ones and youve come a long way with your confidence in narrating your videos  love these longform informative types of videos theyre really great for when i have downtime at work and am not taking calls,0.5125,0.625,positive,positive,0.980151474
93,the fact that this video and all the news articles talking about facebook are titled facebook and not meta means theyve already lost,0,0,neutral,negative,0.885117412
94,excellent video you really understand the way facebook operates the context in which it operates and really made the case for zucks obsession with the meta verse,0.466666667,0.466666667,positive,positive,0.980814219
95,as someone who works in the ad industry i think the issue with this thesis is that there is any incentive in the adcorporate world to admit that your facebook ad spend isnt producing results in this way fb has an edge in that they can provide worse ad sales outcomes and be protected from any results,-0.4,0.6,negative,negative,0.936442316
96,its all about having control over peoples virtual identity where digital assets are getting attached to this is why they working on systems that people can use their one avatar in multiple apps those digital assets might not be restricted solely to vr objects it may comprise all kind of media and software they will provide a marketplace where they can earn some revenue share on purchases if they choose to implement their own currency they can also make money on the exchange and work with the money people dont cash out i think that meta is moving away from being depending on sale of advertisements they seem to prepare for a future with stricter privacy laws also still the metaverse is a gamble,0.2,0.3375,positive,negative,0.840910494
97,i dont think facebookmeta will be able to produce viable ar and vr technology before they die as a company the technical challenges get exponentially harder the closer you get to the size weight and seamlessness thresholds for mass adoption meanwhile meta could very well dwindle in revenue and resources before that point anyhow once the technology is available metas investment will only pay off if theyve developed a monopoly on the platforms at that point otherwise other players will jump on the bandwagon and reap all the rewards ,0.121875,0.3875,neutral,negative,0.946286023
98,its just disgusting how deeprooted their marketing and ads goes ,-1,1,negative,negative,0.965806186
99,i tested in once with my girlfriend on a clean phone we were talking about some random shit we wouldve never talked about talked about brands we would never buy or even talk about in the first place we both never saw ads of the thing we talked about but after a convo of 10 minutes there was literally ads everywhere of the things we just talked about facebook and instagram ,-0.020833333,0.583333333,negative,negative,0.948446035
100,the short video thing in facebook and instagram is just a little too much for me the ones pushed by facebook are pretty corporate or obviously paid and the ones on instagram are almost just for influencers none of that matters to me at all,0.04375,0.416666667,neutral,negative,0.979261875
101,everyone is giving reasons for facebooks decline such as  privacy or lying i dont really think thats all of it kids dont want to post on something they view as being for parents at this point nearly grandparents almost everyone i know who uses facebook regularly is well over forty and its been that way since 2013 or so though granted those people were nine years younger at the time weve seen the same thing happen with instagram twitter and snapchat no young generation wants to use what is seen as being for old people,0.061111111,0.222435897,neutral,negative,0.816277444
102,from my experience in performance marketing id disagree on the stategic reasongrowth avenue on why fb is pushing the metaverse their revenue from the advertisers on the platform is made up from impressions x advertiser revenue per impressionbudget inefficiencys and while a metaverse and getting access to more personal data could help them increase the advertiser revenue per impression  potentally sell own digital products it is really the impression amount due to increased engagement time that would grow if facebook could get a successful metaverse in place,0.275,0.475,positive,neutral,0.548310637
103,its all about people finally woke up on all deficiencies and evils  of social media and those companies especially fb made it very obvious and sensitive to most,0.105555556,0.686111111,neutral,positive,0.950174928
104,i love your videos it helps me learn things i never knew i needed to learn so amazing your doing something good man,0.6,0.7,positive,positive,0.978533566
105,i feel facebook meta has an irreparable problem  which is public trust so much has been said revealed and leaked that it has an impossible pr mountain to climb and for a company with such a reputation anything that you want to do will be greeted with scepticism as soon as the meta verse was announced and the headset drive began people already knew the fundamental mo control the hardware control the software and sell more advertising its become a false economy,-0.061111111,0.477777778,negative,negative,0.972065926
106,would love to see nothing more than this awful website go out of business,0,0.7,neutral,negative,0.946326256
107,see as much as we make fun of apple for high prices etc the steps taken for privacy in ios 14 are really something,0.215,0.285,positive,positive,0.703324437
108,if you charge a premium for largely premium secure devices ill bet a lot of people will be willing to stump up that cost in the knowledge that they are putting their precious data in the hands of a company that doesnt need to scalp their data to sell it to advertisers because they already made their money upfront,0.172857143,0.755714286,neutral,negative,0.946245492
109,the idea of making the internet appear smaller than it is is the real trick but those days are over also facebook is nearly 20 years old which is ancient in terms of social media and most users log in to see how their lives have basically not measured up to expectations,0.155555556,0.327777778,neutral,positive,0.754934967
110,the fact that mark himself does his best to live a private life living in a well secured mansion while invading and selling everyones personal information,0.284090909,0.36875,positive,positive,0.860113859
111,the one thing detractors of fb including myself need to keep in mind is the next coming generation,0,0,neutral,neutral,0.569018066
112,if fb wants to target young adults again still has a ridiculous amount of money and is bidding their time  investment into distant technologies then we need to be sure to keep heat on them so the next  younger generations grow to think the name of mta is boring cringe  uncool,-0.079166667,0.467361111,negative,negative,0.980617166
113,the guy most known for being super awkward with human interactions is the boss of the worlds biggest human interactions company what could go wrong,-0.044444444,0.544444444,negative,negative,0.823953032
114,just subbed really like what youre doing and excited to see what you put out in the future,0.191666667,0.358333333,neutral,positive,0.710364461
115,great content you always have amazing analyses on such interesting topics,0.475,0.6625,positive,positive,0.977668047
116,you have gained a new subscriber,0.136363636,0.454545455,neutral,neutral,0.660473526
117,personally i think the hardware business will be a very risky bet just because they cannot imagine selling anything else but ads ,0.1,0.3,neutral,negative,0.918513536
118,maybe with their amount of cash it would be better to invest into other segmentsservices entertainment movies series  game development internet searching etc,-0.008333333,0.425,negative,neutral,0.596947491
119,interestingly enough i saw meta looking for privacy professionals throughout europe and for its eu business in ireland for such a big companies they would get on linkedin hundreds of cvs but in li it was 0 applications over weeks or months you can follow that on li nobody wants stains on their cv or sitting on an ejection seat,0.05,0.3,neutral,negative,0.887124896
120,this was an extremely insightful video facebooks focus on metaverse and vr makes perfect sense now i doubt their bet will pay off though lmao,0.491666667,1,positive,positive,0.974661231
121,recently i was asked to join a whatsappgroup by a few people i know and i talk to from time to time i checked whatsapp is owned by facebook so i declined the offer the thought alone to use any facebookservice scares me and since occulus was bought by facebook i also decided to never become a customer of that particular company if facebook is behind something run because you will become the product they sell,-0.108333333,0.345833333,negative,negative,0.914307117
122,facebook became a medium where every third impression is an advertisement and every video has an ad in the middle and they wonder why people left we dont see our friends anymoreonly adds and before the excessive ads they started only limiting which friends posts we saw even i stopped signing on its too much,-0.008333333,0.366666667,negative,negative,0.933158219
123,im really happy to stumble upon your channel this is rare premium content i hope you continue making more of these informative and engaging videos ,0.39,0.64,positive,positive,0.979229093
124,great reporting you should have described the internal management strategy and culture that also explains its downward trend,0.4,0.375,positive,positive,0.958727002
125,this is a wondrous opportunity to show mark our virtual reality index finger while watching the obvious reality of facebook meta spiralling into the metaverse,0,0.5,neutral,positive,0.979031682
126,whats wild is that all your efforts for privacy go out the window the moment your friend or family member who doesnt care about privacy does anything in your vicinity they post about doing anything with you or for you or about even if you are not on social the trackers find you and recognize you i got family that brag about being off social and still marvel at the ad promotions in their email boxes geosyncd with other people in your area even strangers who post about how lovely that secluded lake is google and apple geosyncs to your phone and send you camping and meal prep ads,0.108333333,0.331666667,neutral,positive,0.8962816
127,we know everything youre saying but you do a really good job or summarizing and articulating this info clearly good job,0.7,0.6,positive,positive,0.886143446
128,i think your assessment is correct its a very apt and sober look at their strengths and weaknesses rather than the usual emotional antifb argument i want to see how this all plays out for him this is such a radical shift in their branding,0.126,0.52,neutral,positive,0.964572251
129,the metaverse concept has only a niche future  that is normal humans will quickly tire of it if they try it at all  if you want an example to base your analysis  look at 3d movies and tv   we were all going to have 3d tv by now yet no one does  if i bothered to think about it  i am sure there are thousands of other concepts that were going to take over the world but failed,-0.055208333,0.604861111,negative,negative,0.960912347
130,absolutely love this channel great informative video keep em coming,0.65,0.675,positive,positive,0.975548387
131,once  venturing into the vast potential of the internet it was like entering a dark room  and fearing there might be ghosts in the dark corners of this dark room we all have flashlights now and we have all got over the fear of ghosts,-0.09,0.64,negative,neutral,0.564471662
132,fb is old,0.1,0.2,neutral,negative,0.723449349
133,very informative and well executed video also very refreshing that it didnt have an intro im really tired of jingles full screen logos people asking to subscribe and smash that like button etc,0.2,0.6375,positive,positive,0.968638957
134,when i started on facebook you needed a university email to register it has become so watered down in pursuit of new users that it is unpalatable to younger demographics teenagers arent looking for more opportunities to stay in contact with their parents and grandparents through social media which is what facebook currently offers,0.102356902,0.218350168,neutral,negative,0.912204385
135,a company which business model is build on monetizing privacy data will fail in a world of decentralized services fb is done the writtings are on the wall,-0.5,0.3,negative,negative,0.94703567
136,sat in silence for 10 seconds at the end waiting for the like and subscribe section before realising it was just done kudos to you my man,0,0,neutral,negative,0.706760526
137,danny rufh leclerc,0,0,neutral,neutral,0.653986752
138,i know its pretty much their only real form of revenue but the agressive advertizing is what turned me away from facebook i would honestly pay to remove them google offers a subscription service to avoid ads for youtube services and its honestly worth it for me got rid of the netflix account i never used anymore to pay for it and it turned out to be a great buy,0.30625,0.53125,positive,positive,0.958836555
139,facebook failing and going bankrupt is inevitable for the good,0.35,0.8,positive,negative,0.902299106
140,ironically them pushing the metaverse has turned me off from vr specifically the quest,0,0,neutral,neutral,0.630310833
141,id rather wait for psvr2 since i already have a ps account and have like 3 free vr games from themassuming theyd let you play the old games on psvr2,0.25,0.5,positive,negative,0.700795949
142,theres a difference between we didnt do a good job of protecting peoples data and our business depends on mining that user data and getting people to pay us for using it,0.7,0.6,positive,negative,0.940493107
143,this person had no time to build character before making it big and based on the way he was acting in college he was as immature as men come at the time im glad fb is losing its steam,0.166666667,0.366666667,neutral,negative,0.940705001
144,i think another thing thats driving this is the acceleration of adopting new tech so the distant future isnt as far away as we think,0.034090909,0.482386364,neutral,neutral,0.562593877
145,this was really good thank you for the info i have an android and facebook has gotten desperate with the amount of notifications it sends me trying to get me to click something anything in its product category,0.05,0.8,neutral,positive,0.955636621
146,there is a trend line with text turning to images to video on social media its about translating social experiences and sharing them vr or the metaverse looks like a step out of reality compared to video and does not look like the right next step for social media,0.077142857,0.147142857,neutral,negative,0.936649621
147,the age and amount of science fiction that has warned humanity against virtual reality and its endless potential for destruction is insane pools closed,-0.30625,0.7125,negative,negative,0.875306249
148,at some point people stop engaging with targeted ads and simply become hyper vigilant and hyper dismissive of them because we are learning how creepy and manipulative it all is id rather not buy a single thing i see online good rule of thumb is if you see it on an online ad dont buy it for the life of you its a scam or at least makes the issue of creepy targeted ads worse,-0.083928571,0.608928571,negative,negative,0.97698158
149,its a really weird world in which well look back at apple as the good guy in the tech landscape whats our business model we give you a thing you want you give us lots of money for it we make it good so you really like it and buy another later,0.183333333,0.4,neutral,positive,0.931402922
150,saved by grace,0,0,neutral,positive,0.810331404
151,been looking forward to their demise for awhile now every since i was told by friends to make an account which i did in order to play a game fb would give me list of people i might be interested in becoming friends with so i would send them a friend request just to have more people with which to play the game these people would complained about some random person me sending them friend requests so fb gave me a temporary ban for sending friend quests to people whom they had recommended me to send friend requests to wait what never went back,-0.05,0.41875,negative,negative,0.955176651
152,i was in a position that i couldnt use fb from 20112014 and i did not miss it the only thing i missed was google now not even them,0,1,neutral,negative,0.852281153
153,i think the main issue right now for oculus is two fold ,0.226190476,0.43452381,positive,neutral,0.692680299
154,for the casual market that they appear to be targeting the barrier of entry is too high for such a device without the infrastructure that conventional hardware such as pc and laptops already have  youre asking a market to invest in a 400500 piece of hardware that cant interface with the usual apps and softwares they would usually use on their current devices,-0.122857143,0.45797619,negative,negative,0.953151345
155,i dont understand why he didnt introduce the metaverse as an option while keeping the original facebook in place i wonder if he can bring back the original where it left off,0.1875,0.375,neutral,negative,0.756936312
156,justin lee miller,0,0,neutral,neutral,0.570889175
157,you dont ever need to get on facebook i quit in 2010 and felt absolutely no negative effects,0.15,0.4,neutral,negative,0.896326721
158,if we put aside the technical challenges of building the meta universe facbooks new project has not solved the fundamental problem that they collect more information than the users are comfortable with so in the long run the users will turn their backs on meta it should be remembered that apple founded the smartphone era but it did not become a monopoly,0.197272727,0.450909091,neutral,negative,0.888174772
159,anthony jude degol,0,0,neutral,neutral,0.584403276
160,metaverse was coined in 1992 novel snow crash good book great author,0.75,0.675,positive,positive,0.763366222
161,i dont think mark intentionally wanted to create a lack of privacy but uber years of decision making we ended up here,0,0,neutral,negative,0.862492204
162,fantastic video with a lot of great points metafb is concerned with privacy theres too much scrutiny not to be apple is not at all concerned with user privacy as they have droves of first party user data that they have already begun to use for monetization why you now see banner ads in the app store ios14 has every company from apple to google to msft focusing on their first party data that they can then leverage to drive value for advertisers,0.38,0.503333333,positive,positive,0.908515871
163,for us in india its not a good news in india many smb use fb and instagram and tiktok is banned here in india due to privacy issues im a social media advertiser and this is really alarming,-0.008333333,0.428333333,negative,negative,0.948085248
164,i started with your hotels vs airbnb video and then this one your insight is very deep and insightful helping us understand why and whats next congrats and keep on going,0,0.26,neutral,positive,0.980414391
165,love your channel thank for creating such amazing infotainment,0.366666667,0.666666667,positive,positive,0.973982573
166,all the points you raised to defend youre stuck with fb were about business and advertising not what fb is meant to be about which was keeping in touch with friends i got rid of it years ago and couldnt be happier my friends have got my number,0,0,neutral,negative,0.926659048
167,i absolutely love facebook its a great way to keep in touch with friends  family even come across  meet family we didnt know excised,0.65,0.675,positive,positive,0.976815939
168,just found your channel excellent analysis and content thank you,1,1,positive,positive,0.966742694
169,i stopped using facebook because it went from a relatively simple predictable way to keep in touch with friends to the algorithm its just annoying to use and when you combine that with the privacy issues and selling of data i just dont care to log in,-0.333333333,0.585714286,negative,negative,0.978136718
170,as far as the metaverse thing goes no i am not going to wear goggles to interact with the internet,0.1,1,neutral,negative,0.790556252
